"","continent","country","mean_lifeExp","se_lifeExp","samsize_lifeExp"
"1","Africa","Algeria",59.0301666666667,2.984920832495,12
"2","Africa","Angola",37.8835,1.15622362377778,12
"3","Africa","Benin",48.7799166666667,1.7691977143324,12
"4","Africa","Botswana",54.5975,1.71169222267074,12
"5","Africa","Burkina Faso",44.694,1.97620986724435,12
"6","Africa","Burundi",44.8173333333333,0.916509587092423,12
"7","Africa","Cameroon",48.1285,1.5784640141414,12
"8","Africa","Central African Republic",43.8669166666667,1.36274589362097,12
"9","Africa","Chad",46.7735833333333,1.41103760155605,12
"10","Africa","Comoros",52.38175,2.3476081061531,12
"11","Africa","Congo Dem. Rep.",44.54375,0.828269527982799,12
"12","Africa","Congo Rep.",52.5019166666667,1.40844215174896,12
"13","Africa","Cote d'Ivoire",48.4361666666667,1.27635433021658,12
"14","Africa","Djibouti",46.38075,1.93701101796353,12
"15","Africa","Egypt",56.243,2.90479349132993,12
"16","Africa","Equatorial Guinea",42.96,1.61671237204996,12
"17","Africa","Eritrea",45.99925,1.99299138317482,12
"18","Africa","Ethiopia",44.47575,1.62443038559721,12
"19","Africa","Gabon",51.2205,2.57879098845199,12
"20","Africa","Gambia",44.4005833333333,3.04434744577238,12
"21","Africa","Ghana",52.3406666666667,1.68787532900467,12
"22","Africa","Guinea",43.2398333333333,2.23525783487808,12
"23","Africa","Guinea-Bissau",39.21025,1.42529552557611,12
"24","Africa","Kenya",52.681,1.61548356115549,12
"25","Africa","Lesotho",50.0070833333333,1.70730485578318,12
"26","Africa","Liberia",42.47625,0.698332376418669,12
"27","Africa","Libya",59.3041666666667,3.2828660238895,12
"28","Africa","Madagascar",47.7705833333333,2.1067061302103,12
"29","Africa","Malawi",43.3515833333333,1.33001964247476,12
"30","Africa","Mali",43.4135,1.96545544687138,12
"31","Africa","Mauritania",52.3020833333333,2.3259365316725,12
"32","Africa","Mauritius",64.95325,1.87560141920188,12
"33","Africa","Morocco",57.6088333333333,2.83079502922319,12
"34","Africa","Mozambique",40.3795,1.32767006843043,12
"35","Africa","Namibia",53.4913333333333,1.81978091977018,12
"36","Africa","Niger",44.5586666666667,1.87911470263435,12
"37","Africa","Nigeria",43.5813333333333,1.16082237263419,12
"38","Africa","Reunion",66.64425,2.43495686952344,12
"39","Africa","Rwanda",41.4815833333333,1.82079394295511,12
"40","Africa","Sao Tome and Principe",57.8963333333333,1.81401241323028,12
"41","Africa","Senegal",50.6259166666667,2.63904890885108,12
"42","Africa","Sierra Leone",36.7691666666667,1.13675302369014,12
"43","Africa","Somalia",40.9886666666667,1.3001432283181,12
"44","Africa","South Africa",53.9931666666667,1.57486768002774,12
"45","Africa","Sudan",48.4005,1.99989600676605,12
"46","Africa","Swaziland",49.0024166666667,1.89447904591983,12
"47","Africa","Tanzania",47.9123333333333,1.0399334793217,12
"48","Africa","Togo",51.49875,2.09204123215711,12
"49","Africa","Tunisia",60.721,3.08918310031515,12
"50","Africa","Uganda",47.6188333333333,1.08174272156394,12
"51","Africa","Zambia",45.9963333333333,1.28554151031675,12
"52","Africa","Zimbabwe",52.6631666666667,2.04145751866284,12
"53","Americas","Argentina",69.0604166666667,1.20852971941199,12
"54","Americas","Bolivia",52.5045833333333,2.62207501238634,12
"55","Americas","Brazil",62.2395,2.03207504596268,12
"56","Americas","Canada",74.90275,1.14109569304323,12
"57","Americas","Chile",67.4309166666667,2.50319969620197,12
"58","Americas","Colombia",63.89775,2.0141048772195,12
"59","Americas","Costa Rica",70.1814166666667,2.13746315742955,12
"60","Americas","Cuba",71.0450833333333,1.73863207487753,12
"61","Americas","Dominican Republic",61.5545,2.48880354758765,12
"62","Americas","Ecuador",62.8168333333333,2.6094583027591,12
"63","Americas","El Salvador",59.6333333333333,2.5400577878577,12
"64","Americas","Guatemala",56.7294166666667,2.76945820775837,12
"65","Americas","Haiti",50.16525,2.07927327822254,12
"66","Americas","Honduras",57.9208333333333,2.85771090537284,12
"67","Americas","Jamaica",68.7493333333333,1.28363650295447,12
"68","Americas","Mexico",65.4088333333333,2.36481999069355,12
"69","Americas","Nicaragua",58.3494166666667,2.90089952992206,12
"70","Americas","Panama",67.80175,1.89006153950237,12
"71","Americas","Paraguay",66.8090833333333,0.825955355554213,12
"72","Americas","Peru",58.8593333333333,2.76219158523361,12
"73","Americas","Puerto Rico",72.7393333333333,1.15015889767414,12
"74","Americas","Trinidad and Tobago",66.828,1.0116987888665,12
"75","Americas","United States",73.4785,0.965266555272311,12
"76","Americas","Uruguay",70.7815833333333,0.965022832657604,12
"77","Americas","Venezuela",66.5806666666667,1.76373067643274,12
"78","Asia","Afghanistan",37.4788333333333,1.47185235710349,12
"79","Asia","Bahrain",65.6056666666667,2.47448609091694,12
"80","Asia","Bangladesh",49.8340833333333,2.6062559365773,12
"81","Asia","Cambodia",47.90275,2.57806471968095,12
"82","Asia","China",61.78514,2.95892590741364,12
"83","Asia","Hong Kong China",73.4928333333333,1.93150901453561,12
"84","Asia","India",53.1660833333333,2.67228521108221,12
"85","Asia","Indonesia",54.33575,3.3075537745577,12
"86","Asia","Iran",58.6365833333333,2.59106160663321,12
"87","Asia","Iraq",56.58175,1.65690368003823,12
"88","Asia","Israel",73.6458333333333,1.39370552970682,12
"89","Asia","Japan",74.8269166666667,1.87483800293451,12
